STU_ID,X4INCOMECAT,X4RFDGMJSTEM,X4OCCFBSTEM1,S4JOBSAT2,X5STEM3ERN,X1TXMQUINT,X1MTHINT,X1SCIINT,X1MTHUTI,X1SCIUTI,X1MTHEFF,X1SCIEFF,X1MTHID,X1SCIID,S1FAVSUBJ,X2TXMQUINT,S2MUSELIFE,S2MUSECLG,X1DADEDU,X1MOMEDU,S2EDUASP,X3TAGPA12,S4BIRTHSEX,X1RACE,X1SES_U
10001,4,1,-7,-7,43,5,0.12,-0.23,1.31,-0.33,0.95,1.1,1.76,0.91,7,5,1,1,5,5,6,3.5,-5,8,1.6907
10002,12,0,0,-9,0,2,-9.0,-9.0,1.31,1.69,0.55,0.69,-0.57,0.91,-9,4,2,2,2,3,5,4.0,-5,8,-0.3923
10003,7,1,0,-7,13,5,0.86,0.93,0.27,0.1,0.68,-0.05,-0.57,-0.33,1,4,3,3,0,7,7,2.5,-5,3,1.1271
10004,8,-7,0,-4,-6,3,0.19,-0.67,-0.7,0.1,0.1,0.25,0.6,-0.33,4,-8,-8,-8,0,0,-8,4.0,-5,8,0.4283
10005,1,-7,-7,-7,-6,5,-0.96,-1.5,-1.1,-1.88,0.1,0.25,0.56,-0.33,11,3,-9,1,0,4,5,3.0,-5,8,0.2147
10006,-8,-8,-8,-8,23,4,2.08,-7.0,1.31,-7.0,1.23,-7.0,1.16,-1.57,6,4,-9,-9,3,3,7,3.5,-5,8,1.0968
10007,8,0,4,1,3,3,2.08,0.16,1.31,-0.89,0.1,-1.74,0.6,-1.57,6,2,3,1,0,2,5,3.0,-5,8,-0.4774
10008,5,0,0,-7,10,4,-1.13,-0.21,-0.7,0.28,-1.41,0.25,0.0,-0.33,7,5,1,1,7,5,5,3.0,-5,8,1.8383
10009,6,0,0,-7,18,4,-7.0,-1.05,-7.0,-1.5,-7.0,0.25,0.6,0.27,13,5,2,2,2,2,7,3.5,-5,8,-0.1961
10010,-8,-8,-8,-8,-6,5,-0.18,-1.38,-1.33,-1.08,1.62,-0.91,1.76,-0.33,2,5,2,2,2,3,7,3.5,-5,8,0.1081
10011,-8,-8,-8,-8,28,4,1.35,-7.0,1.31,-7.0,1.34,-7.0,1.76,1.52,6,2,1,2,3,5,6,3.5,-5,8,1.0842
10012,4,0,0,-7,3,5,-0.36,0.49,-0.13,-0.33,0.51,1.83,0.63,0.91,11,5,2,2,7,7,6,4.0,-5,8,2.3344
10013,3,0,-7,-7,-8,5,-1.38,0.16,0.27,-0.89,1.62,1.1,1.76,0.27,7,5,2,1,7,7,8,3.5,-5,8,2.4002
10014,2,-7,-7,-4,-6,1,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-1.73,0.91,12,-8,-8,-8,0,2,-8,-8.0,-5,3,-0.7851
10015,2,0,0,-7,4,4,-7.0,0.54,-7.0,0.1,-7.0,0.38,0.03,-0.33,4,4,1,1,4,4,5,4.0,-5,8,1.0156
10016,3,0,-7,-7,-8,5,1.34,1.38,0.27,0.71,0.1,0.25,0.6,-1.57,5,5,2,1,2,3,8,3.5,-5,8,0.0523
10018,4,0,0,-7,9,5,0.47,0.99,0.9,0.1,0.1,0.67,0.6,0.91,5,5,2,2,7,4,5,4.0,-5,8,1.6782
10019,4,0,-7,-7,28,4,1.05,0.16,0.9,-0.33,1.62,1.42,1.76,-0.33,6,4,1,1,-8,-8,5,2.5,-5,5,-0.0453
10020,4,0,-7,-7,15,3,-0.64,1.38,-0.7,-0.33,-0.97,-0.05,0.0,0.91,4,4,2,2,3,2,7,3.5,-5,8,-0.1967
10021,6,0,0,-7,24,4,-9.0,0.16,0.27,0.28,0.49,-0.05,0.6,0.91,6,5,1,1,2,2,6,2.0,-5,8,0.329
10022,2,1,-9,-7,17,4,-0.8,0.5,-0.7,1.69,0.78,-0.61,1.19,2.15,3,3,3,2,5,5,6,2.5,-5,2,1.4352
10024,4,0,1,-7,16,4,0.19,0.09,-9.0,0.1,-0.17,-0.05,0.0,0.91,11,4,4,2,3,5,6,3.0,-5,8,0.0219
10025,7,-7,0,1,-6,1,0.19,-2.15,1.31,0.1,0.1,-0.9,0.0,-1.57,7,2,2,2,-8,-8,6,-1.0,-5,8,-0.1905
10026,3,1,-7,-7,72,5,0.17,1.19,-0.07,1.27,0.16,-0.89,0.03,-0.33,3,5,2,1,0,0,7,3.5,-5,2,1.3806
10027,5,0,0,-7,1,2,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,0.03,-1.57,7,2,1,1,4,2,6,2.0,-5,8,0.1443
10028,-8,-8,-8,-8,-8,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,1,3,3,-8,-8,2,3.5,-5,-9,-8.0
10029,-8,-8,-8,-8,-6,1,-0.96,0.16,-0.7,-0.89,-1.41,-1.02,-1.73,-1.57,7,-8,-8,-8,0,1,-8,0.5,-5,8,-0.9147
10030,4,0,-7,-7,14,5,-0.66,-9.0,-1.33,-9.0,-0.17,-0.05,-1.13,-0.94,2,5,2,1,5,5,7,3.0,-5,8,1.5847
10031,-8,-8,-8,-8,-6,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,1,1,2,-8,-8,4,2.0,-5,3,-8.0
10033,-8,-8,-8,-8,-8,1,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-0.57,-0.33,7,-8,-8,-8,1,2,-8,-8.0,-5,6,-0.6866
10034,7,0,0,-4,-6,2,-0.74,-1.12,0.27,0.23,-1.68,-2.05,-1.73,0.27,13,1,2,2,-8,-8,2,-1.0,-5,5,-0.0685
10035,-8,-8,-8,-8,-6,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,2,2,2,0,0,3,-1.0,-5,3,-8.0
10036,4,0,0,-7,50,4,0.19,-7.0,1.31,-7.0,0.27,-7.0,0.6,-0.33,7,4,2,1,3,3,5,3.0,-5,8,0.1982
10037,5,0,0,-7,45,5,0.49,-7.0,-0.3,-7.0,0.1,-7.0,0.6,0.91,13,4,2,2,3,3,7,4.0,-5,8,0.5493
10038,-8,-8,-8,-8,-8,1,-1.01,0.09,-0.3,-9.0,-0.3,-0.9,-0.57,-0.33,7,3,2,1,0,4,4,2.5,-5,2,0.9346
10039,5,0,0,-7,4,5,0.56,-0.21,-0.3,0.1,1.62,-0.59,1.76,0.31,6,1,1,1,4,4,7,3.5,-5,2,0.7026
10040,13,-9,0,1,-6,1,-0.59,-7.0,-0.87,-7.0,0.1,-7.0,0.0,2.15,4,-8,-8,-8,-8,-8,-8,2.0,-5,8,-0.077
10041,2,-7,0,2,-6,1,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-1.73,-1.57,7,2,2,2,2,0,4,3.0,-5,8,-0.8222
10042,-8,-8,-8,-8,-6,2,-1.56,0.5,0.9,-0.76,-2.92,0.67,-1.73,0.27,3,-8,-8,-8,-8,-8,-8,-1.0,-5,8,-0.0755
10043,5,0,0,2,0,2,-0.29,0.11,-1.33,0.1,-0.56,0.25,-0.57,-0.33,4,2,2,2,-8,-8,5,3.0,-5,8,-0.3713
10044,2,0,-7,-7,7,5,1.02,-0.17,-0.93,-0.89,1.62,-0.59,1.76,0.27,11,5,2,2,7,4,7,3.5,-5,8,1.3242
10045,8,0,0,1,-8,2,0.49,0.56,-1.74,0.1,-0.61,-0.17,0.0,-0.33,11,1,2,1,3,2,5,-8.0,-5,8,-0.375
